date,city,country,avg_temp_c
08/08/01,Abidjan,Côte D'Ivoire,25.219
08/09/01,Abidjan,Côte D'Ivoire,25.557
08/10/01,Abidjan,Côte D'Ivoire,26.681
08/11/01,Abidjan,Côte D'Ivoire,27.302
08/12/01,Abidjan,Côte D'Ivoire,27.472
09/01/01,Abidjan,Côte D'Ivoire,26.912
09/02/01,Abidjan,Côte D'Ivoire,28.224
09/03/01,Abidjan,Côte D'Ivoire,28.805
09/04/01,Abidjan,Côte D'Ivoire,28.001
09/05/01,Abidjan,Côte D'Ivoire,27.766
09/06/01,Abidjan,Côte D'Ivoire,26.655
09/07/01,Abidjan,Côte D'Ivoire,25.437
09/08/01,Abidjan,Côte D'Ivoire,24.945
09/09/01,Abidjan,Côte D'Ivoire,25.568
09/10/01,Abidjan,Côte D'Ivoire,26.354
09/11/01,Abidjan,Côte D'Ivoire,27.497
09/12/01,Abidjan,Côte D'Ivoire,27.62
10/01/01,Abidjan,Côte D'Ivoire,28.27
10/02/01,Abidjan,Côte D'Ivoire,29.262
10/03/01,Abidjan,Côte D'Ivoire,29.596
10/04/01,Abidjan,Côte D'Ivoire,29.068
10/05/01,Abidjan,Côte D'Ivoire,28.258
10/06/01,Abidjan,Côte D'Ivoire,26.683
10/07/01,Abidjan,Côte D'Ivoire,25.589
10/08/01,Abidjan,Côte D'Ivoire,25.4
10/09/01,Abidjan,Côte D'Ivoire,25.71
10/10/01,Abidjan,Côte D'Ivoire,26.397
10/11/01,Abidjan,Côte D'Ivoire,27.446
10/12/01,Abidjan,Côte D'Ivoire,27.666
11/01/01,Abidjan,Côte D'Ivoire,27.36
11/02/01,Abidjan,Côte D'Ivoire,28.295
11/03/01,Abidjan,Côte D'Ivoire,28.922
11/04/01,Abidjan,Côte D'Ivoire,28.754
11/05/01,Abidjan,Côte D'Ivoire,27.809
11/06/01,Abidjan,Côte D'Ivoire,26.427
11/07/01,Abidjan,Côte D'Ivoire,25.302
11/08/01,Abidjan,Côte D'Ivoire,24.824
11/09/01,Abidjan,Côte D'Ivoire,25.405
11/10/01,Abidjan,Côte D'Ivoire,26.388
11/11/01,Abidjan,Côte D'Ivoire,27.531
11/12/01,Abidjan,Côte D'Ivoire,27.194
12/01/01,Abidjan,Côte D'Ivoire,27.317
12/02/01,Abidjan,Côte D'Ivoire,27.697
12/03/01,Abidjan,Côte D'Ivoire,28.887
12/04/01,Abidjan,Côte D'Ivoire,28.025
12/05/01,Abidjan,Côte D'Ivoire,27.056
12/06/01,Abidjan,Côte D'Ivoire,26.101
12/07/01,Abidjan,Côte D'Ivoire,24.989
12/08/01,Abidjan,Côte D'Ivoire,24.657
12/09/01,Abidjan,Côte D'Ivoire,25.793
12/10/01,Abidjan,Côte D'Ivoire,26.511
12/11/01,Abidjan,Côte D'Ivoire,27.386
12/12/01,Abidjan,Côte D'Ivoire,26.777
13/01/01,Abidjan,Côte D'Ivoire,27.751
13/02/01,Abidjan,Côte D'Ivoire,29.021
